Date,Carbs Breakfast,Fat Breakfast,Protein Breakfast,Carbs Dinner,Fat Dinner,Protein Dinner,Carbs Day,Fat Day,Protein Day
2024-08-19,Low,Medium,Medium,High,High,Medium,High,High,High
2024-08-20,High,Low,High,High,Low,High,Low,High,High
2024-08-21,Low,Medium,Medium,High,Medium,Low,Medium,Low,Low
2024-08-22,Low,Medium,Medium,Low,Low,Low,High,High,Medium
2024-08-23,High,Low,Medium,High,Low,High,High,Medium,High
2024-08-24,High,Medium,Medium,High,High,Low,High,Medium,Low
2024-08-25,Low,Low,Medium,High,Low,Low,Low,Medium,Low
2024-08-26,Medium,Low,Medium,Low,High,High,Low,Low,Low
2024-08-27,Low,High,Medium,High,Low,High,Medium,High,Medium
2024-08-28,Low,Low,High,High,Medium,Low,Low,High,Low
2024-08-29,Low,High,Low,Low,Low,Low,High,High,Low
2024-08-30,Low,Low,Medium,Low,High,Low,Medium,Low,Low
2024-08-31,High,Low,Medium,Low,High,Medium,High,Medium,Low
2024-09-01,Low,High,Medium,High,Medium,Medium,High,Medium,High
2024-09-02,Medium,High,Medium,Low,Low,Medium,Low,High,High
2024-09-03,High,Low,Medium,Low,Low,High,Medium,Medium,Low
2024-09-04,Medium,Medium,Medium,High,Medium,Medium,Low,Medium,Medium
2024-09-05,Medium,High,Low,Low,Low,High,Low,Low,High
2024-09-06,Medium,Medium,Low,High,Low,High,Medium,Low,Low
2024-09-07,Medium,Medium,Medium,Medium,High,Medium,High,Low,High
2024-09-08,High,Medium,Low,Low,Low,Medium,High,Low,High
2024-09-09,High,High,High,Medium,Low,Medium,Medium,High,Medium
2024-09-10,Medium,Medium,Medium,High,Medium,Low,High,Low,Low
2024-09-11,Medium,High,High,Low,Medium,Medium,Medium,Medium,Low
2024-09-12,High,Medium,High,High,High,Low,Medium,High,Medium
2024-09-13,High,Low,Medium,Medium,Low,High,Low,Medium,Medium
2024-09-14,High,Low,Low,High,Low,Low,Medium,Medium,Low
2024-09-15,Low,High,High,Low,Low,Medium,Low,Medium,Low
2024-09-16,Low,Low,Medium,Low,High,High,High,Low,Medium
2024-09-17,Low,Low,High,Medium,High,High,High,Low,High
