Date,Stress
2024-08-19,Normal
2024-08-20,Very stressed
2024-08-21,Little stressed
2024-08-22,Normal
2024-08-23,Better
2024-08-24,Better
2024-08-25,Better
2024-08-26,Very stressed
2024-08-27,Little stressed
2024-08-28,Little stressed
2024-08-29,Better
2024-08-30,Very stressed
2024-08-31,Little stressed
2024-09-01,Better
2024-09-02,Better
2024-09-03,Better
2024-09-04,Normal
2024-09-05,Normal
2024-09-06,Normal
2024-09-07,Normal
2024-09-08,Little stressed
2024-09-09,Better
2024-09-10,Normal
2024-09-11,Normal
2024-09-12,Normal
2024-09-13,Little stressed
2024-09-14,Better
2024-09-15,Normal
2024-09-16,Normal
2024-09-17,Better
